length,exact,phase,transformer
3,1.0,1.0,1.0
4,1.0,1.0,1.0
5,1.0,1.0,0.9940000176429749
6,1.0,1.0,0.8759999871253967
7,1.0,1.0,0.7419999837875366
8,1.0,1.0,0.6859999895095825
9,1.0,1.0,0.550000011920929
10,1.0,1.0,0.4699999988079071
11,1.0,1.0,0.44999998807907104
12,1.0,1.0,0.4580000042915344
13,1.0,1.0,0.4580000042915344
14,1.0,1.0,0.49000000953674316
15,1.0,1.0,0.5099999904632568
16,1.0,1.0,0.48399999737739563
17,1.0,1.0,0.5339999794960022
18,1.0,1.0,0.5040000081062317
19,1.0,1.0,0.5220000147819519
20,1.0,1.0,0.5139999985694885
21,1.0,1.0,0.5220000147819519
22,1.0,1.0,0.4880000054836273
23,1.0,1.0,0.4860000014305115
24,1.0,1.0,0.46399998664855957
25,1.0,1.0,0.5360000133514404
26,1.0,1.0,0.47600001096725464
27,1.0,1.0,0.49799999594688416
28,1.0,1.0,0.5080000162124634
29,1.0,1.0,0.5019999742507935
30,1.0,1.0,0.5120000243186951
31,1.0,1.0,0.4959999918937683
32,1.0,1.0,0.4659999907016754
