length,exact,phase,transformer
1,1.0,1.0,1.0
2,1.0,1.0,1.0
3,1.0,1.0,1.0
4,1.0,1.0,1.0
5,1.0,1.0,0.984000027179718
6,1.0,1.0,0.777999997138977
7,1.0,1.0,0.5899999737739563
8,1.0,1.0,0.45399999618530273
9,1.0,1.0,0.35600000619888306
10,1.0,1.0,0.2840000092983246
11,1.0,1.0,0.3199999928474426
12,1.0,1.0,0.23199999332427979
13,1.0,1.0,0.25200000405311584
14,1.0,1.0,0.2160000056028366
15,1.0,1.0,0.2759999930858612
16,1.0,1.0,0.23600000143051147
17,1.0,1.0,0.21400000154972076
18,1.0,1.0,0.23800000548362732
19,1.0,1.0,0.2280000001192093
20,1.0,1.0,0.23600000143051147
21,1.0,1.0,0.24199999868869781
22,1.0,1.0,0.24199999868869781
23,1.0,1.0,0.25
24,1.0,1.0,0.2840000092983246
25,1.0,1.0,0.2619999945163727
26,1.0,1.0,0.2639999985694885
27,1.0,1.0,0.24199999868869781
28,1.0,1.0,0.2680000066757202
29,1.0,1.0,0.23600000143051147
30,1.0,1.0,0.2460000067949295
31,1.0,1.0,0.21199999749660492
32,1.0,1.0,0.2160000056028366
