length,phase,transformer
3,1.0,1.0
4,1.0,1.0
5,1.0,0.9750000238418579
6,1.0,0.8374999761581421
7,1.0,0.6200000047683716
8,1.0,0.4975000023841858
9,1.0,0.47999998927116394
10,1.0,0.5299999713897705
11,1.0,0.49000000953674316
12,1.0,0.5149999856948853
13,1.0,0.512499988079071
14,1.0,0.48500001430511475
15,1.0,0.49000000953674316
16,1.0,0.5
17,1.0,0.48500001430511475
18,1.0,0.48750001192092896
19,1.0,0.48750001192092896
20,1.0,0.4975000023841858
21,1.0,0.4975000023841858
22,1.0,0.5099999904632568
23,1.0,0.4950000047683716
24,1.0,0.5149999856948853
25,1.0,0.5074999928474426
26,1.0,0.4950000047683716
27,1.0,0.4925000071525574
28,1.0,0.48750001192092896
29,1.0,0.512499988079071
30,1.0,0.5224999785423279
31,1.0,0.5049999952316284
32,1.0,0.5224999785423279
