length,phase,transformer
1,1.0,1.0
2,1.0,1.0
3,1.0,1.0
4,1.0,0.9975000023841858
5,1.0,0.9750000238418579
6,1.0,0.7124999761581421
7,1.0,0.5074999928474426
8,1.0,0.23250000178813934
9,1.0,0.2175000011920929
10,1.0,0.24500000476837158
11,1.0,0.24250000715255737
12,1.0,0.23749999701976776
13,1.0,0.2874999940395355
14,1.0,0.25999999046325684
15,1.0,0.23749999701976776
16,1.0,0.2199999988079071
17,1.0,0.2175000011920929
18,1.0,0.25999999046325684
19,1.0,0.26750001311302185
20,1.0,0.23000000417232513
21,1.0,0.24500000476837158
22,1.0,0.23250000178813934
23,1.0,0.2524999976158142
24,1.0,0.23999999463558197
25,1.0,0.24500000476837158
26,1.0,0.2574999928474426
27,1.0,0.26249998807907104
28,1.0,0.20999999344348907
29,1.0,0.23250000178813934
30,1.0,0.19750000536441803
31,1.0,0.2475000023841858
32,1.0,0.27250000834465027
