length,exact,structured,unconstrained,transformer
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,0.987500011920929
6,1.0,1.0,1.0,0.9175000190734863
7,1.0,1.0,1.0,0.8075000047683716
8,1.0,1.0,1.0,0.6499999761581421
9,1.0,1.0,1.0,0.5350000262260437
10,1.0,1.0,1.0,0.41999998688697815
11,1.0,0.9950000047683716,1.0,0.38999998569488525
12,1.0,1.0,1.0,0.2874999940395355
13,1.0,1.0,1.0,0.3199999928474426
14,1.0,1.0,1.0,0.22750000655651093
15,1.0,0.9975000023841858,1.0,0.26750001311302185
16,1.0,0.987500011920929,1.0,0.2524999976158142
17,1.0,0.9850000143051147,1.0,0.23250000178813934
18,1.0,0.9825000166893005,1.0,0.24250000715255737
19,1.0,0.9825000166893005,1.0,0.23250000178813934
20,1.0,0.9750000238418579,1.0,0.22499999403953552
21,1.0,0.9674999713897705,1.0,0.2849999964237213
22,1.0,0.9574999809265137,1.0,0.2849999964237213
23,1.0,0.9700000286102295,1.0,0.26249998807907104
24,1.0,0.9599999785423279,1.0,0.29499998688697815
25,1.0,0.9574999809265137,1.0,0.27000001072883606
26,1.0,0.9424999952316284,1.0,0.25999999046325684
27,1.0,0.9275000095367432,1.0,0.25999999046325684
28,1.0,0.9275000095367432,1.0,0.2549999952316284
29,1.0,0.9150000214576721,1.0,0.27000001072883606
30,1.0,0.925000011920929,1.0,0.23499999940395355
31,1.0,0.9150000214576721,1.0,0.21250000596046448
32,1.0,0.9275000095367432,1.0,0.20250000059604645
33,1.0,0.8899999856948853,1.0,0.2750000059604645
34,1.0,0.9049999713897705,1.0,0.2524999976158142
35,1.0,0.8899999856948853,1.0,0.25
36,1.0,0.8949999809265137,1.0,0.25
37,1.0,0.9049999713897705,1.0,0.26249998807907104
38,1.0,0.8849999904632568,1.0,0.23499999940395355
39,1.0,0.8725000023841858,1.0,0.2224999964237213
40,1.0,0.8575000166893005,0.9975000023841858,0.24500000476837158
41,1.0,0.8575000166893005,1.0,0.23999999463558197
42,1.0,0.8525000214576721,1.0,0.27000001072883606
43,1.0,0.8299999833106995,1.0,0.27250000834465027
44,1.0,0.862500011920929,0.9975000023841858,0.26499998569488525
45,1.0,0.862500011920929,0.9925000071525574,0.23499999940395355
46,1.0,0.8475000262260437,1.0,0.2524999976158142
47,1.0,0.8324999809265137,0.9950000047683716,0.25999999046325684
48,1.0,0.8500000238418579,0.9950000047683716,0.2524999976158142
49,1.0,0.8224999904632568,0.9950000047683716,0.29499998688697815
50,1.0,0.8399999737739563,1.0,0.23000000417232513
51,1.0,0.8224999904632568,0.9975000023841858,0.2199999988079071
52,1.0,0.8274999856948853,0.9975000023841858,0.23250000178813934
53,1.0,0.7699999809265137,1.0,0.2549999952316284
54,1.0,0.8050000071525574,1.0,0.23749999701976776
55,1.0,0.8025000095367432,0.9900000095367432,0.23000000417232513
56,1.0,0.824999988079071,0.9975000023841858,0.2574999928474426
57,1.0,0.8125,0.9950000047683716,0.27000001072883606
58,1.0,0.7674999833106995,0.9950000047683716,0.2824999988079071
59,1.0,0.7475000023841858,0.9975000023841858,0.19249999523162842
60,1.0,0.7699999809265137,0.9950000047683716,0.28999999165534973
61,1.0,0.7875000238418579,1.0,0.2475000023841858
62,1.0,0.7549999952316284,0.9950000047683716,0.2199999988079071
63,1.0,0.7475000023841858,0.987500011920929,0.20250000059604645
64,1.0,0.7124999761581421,0.9900000095367432,0.24500000476837158
